postcode6,cbs_code
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019AS,BU0363MA07
1019BB,BU0363MA05
1025NN,BU0363NM01
1025NN,BU0363NM01
1025NN,BU0363NM01
1025NN,BU0363NM01
1025NP,BU0363NM01
1025NX,BU0363NM01
1025NX,BU0363NM01
1025NX,BU0363NM01
1025NX,BU0363NM01
1025NX,BU0363NM01
1025PA,BU0363NM01
1025PA,BU0363NM01
1025PB,BU0363NM01
1025PB,BU0363NM01
1025PB,BU0363NM01
1025PB,BU0363NM01
1025PB,BU0363NM01
1025PB,BU0363NM01
1025PB,BU0363NM01
1025PC,BU0363NM01
1025PC,BU0363NM01
1025PC,BU0363NM01
1025PC,BU0363NM01
1025PD,BU0363NM01
1025PD,BU0363NM01
1025PD,BU0363NM01
1025PD,BU0363NM01
1025PD,BU0363NM01
1025PD,BU0363NM01
1025PE,BU0363NM01
1025PE,BU0363NM01
1025PG,BU0363NM01
1025PG,BU0363NM01
1025PG,BU0363NM01
1025PG,BU0363NM01
1025PG,BU0363NM01
1025PH,BU0363NM01
1025PH,BU0363NM01
1025PH,BU0363NM01
1025PH,BU0363NM01
1025PH,BU0363NM01
1025PJ,BU0363NM01
1025PJ,BU0363NM01
1025PJ,BU0363NM01
1025PJ,BU0363NM01
1025PJ,BU0363NM01
1025PK,BU0363NM01
1025PK,BU0363NM01
1025PK,BU0363NM01
1025PK,BU0363NM01
1025PK,BU0363NM01
1025PK,BU0363NM01
1025RT,BU0363NM01
1025RT,BU0363NM01
1025XL,BU0363NH03
1025XL,BU0363NH03
1025XM,BU0363NH03
1026CB,BU0363NQ10
1026CN,BU0363NQ10
1031CD,BU0363NK03
1031CD,BU0363NK03
1031HW,BU0363NB07
1031KE,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KH,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
1031KN,BU0363NB07
